Word|Antonym1,Antonym2,Antonym3,Antonym4
21-Jun|winter
carte|table
posteriori|a
priori|a
abactinal|actinal
abaft|fore
abaxial|adaxial
abaxially|adaxially
abbreviate|expand
abducent|adducent
abduct|adduct
abducting|adducent
abidance|noncompliance,nonconformity
by|disrespect
abience|adience
abient|adient
ability|inability
able|unable
ably|incompetently
condition|normality
abnormal|normal
abnormalcy|normality
abnormality|normality
abolish|establish
aborad|orad
aboral|oral
aboriginal|nonnative
above|below
aboveboard|dishonestly
abranchial|branchiate
abranchiate|branchiate
abranchious|branchiate
abridge|expand
abridged|unabridged
abruptness|gradualness
absence|presence
absent|present
absolute|relative
absolve|blame
absorb|emit
absorbable|adsorbable
absorbency|nonabsorbency
absorbent|nonabsorbent
absorptive|nonabsorbent
abstain|consume
abstainer|drinker
abstemious|gluttonous
abstinent|drinker
abstract|concrete
abstractly|concretely
abstractness|concreteness
abstruseness|clarity
abundance|scarcity
abundant|scarce
abused|unabused
ac|direct
acanthopterygian|soft-finned
acapnia|hypercapnia
acarpellous|carpellate
acarpelous|carpellate
acatalectic|catalectic,hypercatalectic
acaudal|caudate
acaudate|caudate
acaulescent|caulescent
accede|dissent
accelerate|decelerate
acceleration|deceleration
accelerator|anticatalyst
accented|unstressed,atonic
accentual|quantitative,syllabic
accept|refuse,reject
acceptability|unacceptability
acceptable|unacceptable
acceptableness|unacceptability
acceptably|intolerably,unacceptably
acceptance|rejection
acceptive|rejective
accessibility|unapproachability,inaccessibility,unavailability
accessible|inaccessible
accidentally|deliberately,deliberately,intentionally
acclaim|boo
acclivity|descent
accommodate|disoblige
accommodating|unaccommodating
accommodative|unaccommodating
accompanied|unaccompanied
accord|disagreement
accordant|discordant
basis|cash
accuracy|inaccuracy
accurate|inaccurate
accurately|inaccurately
accusatorial|inquisitorial
accustomed|unaccustomed
acellular|cellular
acetify|alkalize,sweeten
achiever|loser
achlamydeous|chlamydeous
achondritic|chondritic
color|chromatic
colour|chromatic
achromatic|chromatic
achromaticity|color
achromatinic|chromatinic
achromatism|color
acidic|alkaline,amphoteric
acidify|alkalize,sweeten
acidity|alkalinity
acid-loving|alkaline-loving
acidulate|sweeten
acknowledge|deny
acknowledged|unacknowledged
acquiesce|dissent
acquire|lose
acquisitive|unacquisitive
acquit|convict
acquittal|conviction
acrocarp|pleurocarp
moss|pleurocarp
acrocarpous|pleurocarpous
acropetal|basipetal
acroscopic|basiscopic
act|refrain
actable|unactable
actinal|abactinal
actinomorphic|zygomorphic
actinomorphous|zygomorphic
action|inaction,inactiveness,inactivity
activate|inactivate
activation|deactivation,inactivation
activator|inhibitor
trust|passive
voice|passive
active|inactive,dormant,passive,quiet,passive
actively|passively
activeness|inaction,inactiveness,inactivity
activity|inactivity,inaction,inactiveness
sin|original
actual|de
acute|obtuse,chronic
acutely|chronically
acuteness|obtuseness
acyclic|cyclic
adaptability|unadaptability
adaptable|unadaptable
adaptative|maladaptive
adaptive|maladaptive
adaxial|abaxial
adaxially|abaxially
together|subtract
add|subtract,take
addicted|unaddicted
addictive|nonaddictive
addition|subtraction
additive|subtractive,nonlinear
addressed|unaddressed
adducent|abducent
adduct|abduct
adducting|abducent
adductive|abducent
adequacy|inadequacy,inadequacy,insufficiency
adequate|inadequate
adequately|inadequately
adequateness|inadequacy
adhesive|nonadhesive
adiabatic|diabatic
adience|abience
adient|abient
adjective|substantive
adjust|skew
adjusted|unadjusted,maladjusted
admire|look
admissibility|inadmissibility
admissible|inadmissible
admit|deny,reject,exclude
adnate|connate
adoptable|unadoptable
adopted|native
adoptive|native,biological
adorned|unadorned
adroit|maladroit
adroitly|maladroitly
adscript|subscript,superscript
adsorbable|absorbable
adsorbate|absorbable
adsorbent|nonadsorbent
adsorptive|nonadsorbent
female|man
male|woman
adult|juvenile
adulterant|purifying
adulterating|purifying
advance|back,fall
advancing|retreating
advantage|penalty,disadvantage
advantageous|disadvantageous
advantageously|badly,disadvantageously
advantageousness|unfavorableness
adventuresome|unadventurous
adventurous|unadventurous
adversary|agonist
advertently|inadvertently,unmindfully
advisability|inadvisability
advisable|inadvisable
advised|ill-advised
advisedly|accidentally,unintentionally
adynamic|dynamic
aerobic|anaerobic
aerophilic|anaerobic
aerophilous|anaerobic
aesthesia|insensibility
aesthetic|inaesthetic
aesthetical|inaesthetic
aestivate|hibernate
afebrile|febrile
affected|unaffected,unmoved
affectedness|unaffectedness
afferent|efferent
affinity|consanguinity
affirm|negate
affirmation|reversal
affirmative|negative
affirmatory|negative
affixed|unaffixed
affluent|distributary
afloat|aground,sunken
afraid|unafraid
aft|fore
wind|downwind
age|rejuvenate
aged|young
aggrade|degrade
aggravate|better
aggressive|unaggressive
agitate|calm
agitated|unagitated
agitation|calmness
agnostic|gnostic
